id,name,city,created_at
03067b26-e436-4746-8220-b8a28da724b3,Tunel Šibenik,Levoča,2026-02-22 12:33:36.827108+00
0434210f-7759-4196-9806-e7292c2a3737,Jána Francisciho,Levoča,2026-02-22 12:33:36.827108+00
04deb8f9-f6f0-41c3-bf5d-e22c8367281b,Levočská Dolina,Levoča,2026-02-22 12:33:36.827108+00
05161eaa-75c0-482b-99c6-f838bb330446,Levočské Lúky,Levoča,2026-02-22 12:33:36.827108+00
05bf784c-0944-42eb-a6a4-b17c880948e0,Jozefa Czauczika,Levoča,2026-02-22 12:33:36.827108+00
06e4df8e-ed62-4c23-966c-d1a43e685070,Viničná,Levoča,2026-02-22 12:33:36.827108+00
0b614a03-6aad-4701-8557-9b92844cdb78,Kukučínova,Levoča,2026-02-22 12:33:36.827108+00
0c92c620-aba2-4fae-84d3-055c5cde066c,Pod vinicou,Levoča,2026-02-22 12:33:36.827108+00
0e6270d2-e698-4679-ae6e-fe85cd7872c5,Košická,Levoča,2026-02-21 13:47:34.177628+00
16adbbdb-f1d2-49df-b768-8f8de395b2f6,Probstnerova cesta,Levoča,2026-02-21 13:47:34.177628+00
1f119da1-6256-4a33-b7b1-1b3d227a2415,Uhoľná,Levoča,2026-02-22 12:33:36.827108+00
22e11b84-aa34-4446-8fd0-4b4a70321a62,Odorín,Odorín,2026-05-11 14:50:38.38799+00
25866809-9639-4563-aa77-4daf047d69cb,Ovocinárska,Levoča,2026-02-22 12:33:36.827108+00
26276620-2ad5-4753-9d95-6e808e9fd1a6,Námestie Štefana Kluberta,Levoča,2026-02-22 12:33:36.827108+00
265ed995-e1dc-4651-953e-e3cc74119d30,Gymnaziálny priechod,Levoča,2026-02-22 12:33:36.827108+00
289186a1-dc12-464c-9c1d-accddcc62ed0,Spišský Hrušov,Spišský Hrušov,2026-05-11 14:50:38.38799+00
2d18e08a-a2ac-4726-9e88-4fc5cf967c88,Špitálska,Levoča,2026-02-22 12:33:36.827108+00
2dc4e863-075d-46e0-a74f-c9b581a5fd17,Nad tehelňou,Levoča,2026-02-22 12:33:36.827108+00
2ecf162d-44cb-4d73-a21a-cfeb60370389,Nová,Levoča,2026-02-22 12:33:36.827108+00
30953c70-127b-41e6-b0ef-2951e455da21,Kasárenská,Levoča,2026-02-22 12:33:36.827108+00
31cda96c-1758-4ac2-b326-1fb26f245545,Kežmarská ulica,Levoča,2026-02-22 12:33:36.827108+00
35d96abb-f5dc-431b-a145-09941aadfc6e,Kežmarská cesta,Levoča,2026-02-22 12:33:36.827108+00
36cc7fdd-bf3b-4338-85aa-84e94d6c3a6e,Fedorkin Jarok,Levoča,2026-02-22 12:33:36.827108+00
36d76238-549b-48d1-94cc-4b7471be7b04,Slavkovská,Levoča,2026-02-22 12:33:36.827108+00
373c8a9f-cb16-4e40-828b-1e522f18a4e3,Potočná,Levoča,2026-02-22 12:33:36.827108+00
38503efd-53d1-482e-a390-b3734845e48b,Milana Rastislava Štefánika,Levoča,2026-02-22 12:33:36.827108+00
3beb4717-234e-4501-a28e-9e928ca1bce3,Okružná,Levoča,2026-02-22 12:33:36.827108+00
3cb9da59-13bc-46cc-bb1f-11da0bbda14c,Lúčna,Levoča,2026-02-22 12:33:36.827108+00
3d64f50e-23ca-44f4-a18d-c0bd92a82734,Klčov,Klčov,2026-05-11 14:50:38.38799+00
441c0fba-8387-4feb-94af-be8277e5011e,Fraňa Kráľa,Levoča,2026-02-22 12:33:36.827108+00
44aa5424-95a0-49e4-8fb7-4d32841df522,Mengusovská,Levoča,2026-02-22 12:33:36.827108+00
4504b4fe-5c7a-47c9-9cb1-ae08d4342329,Farma Hradisko,Levoča,2026-02-22 12:33:36.827108+00
479b91f7-2444-49c1-abb6-4309056b9496,Levočské kúpele,Levoča,2026-02-22 12:33:36.827108+00
4801d789-e1b3-4799-9c42-a4c5b652bcf9,Ružová,Levoča,2026-02-22 12:33:36.827108+00
4b0a049c-fb24-4e6a-84e9-3e9cbed8b062,Bottova,Levoča,2026-02-22 12:33:36.827108+00
50d01846-9144-4e96-871d-efbc6c7cda80,Krížová cesta,Levoča,2026-02-22 12:33:36.827108+00
55435176-9c91-4839-a128-b8adc4b6ede8,Novoveská cesta,Levoča,2026-02-22 12:33:36.827108+00
58971736-7746-4c19-aa6c-d47e9a266849,Štefana Zamkovského,Levoča,2026-02-22 12:33:36.827108+00
5cc3bdf9-868c-4e2a-aa66-1d27269176a4,Doľany,Doľany,2026-05-11 14:50:38.38799+00
5e0d61c1-b7e0-48f8-a32b-24d751f8fefa,Danišovce,Danišovce,2026-05-11 14:50:38.38799+00
60ac7cba-6373-43e3-b586-17fc88e81b8f,Michala Hlaváčka,Levoča,2026-02-22 12:33:36.827108+00
643249b8-4e1f-4df1-b3f2-4905543ddc9c,Sadová,Levoča,2026-02-22 12:33:36.827108+00
6527a267-7f13-4a8d-ad4a-a2a0f28763f7,Prešovská,Levoča,2026-02-22 12:33:36.827108+00
65d2b24e-0289-4d70-9de8-f9a23224e52b,Popradská cesta,Levoča,2026-02-22 12:33:36.827108+00
661f9000-bca8-46de-ac51-8d9240c17686,Odpočívadlo Levoča,Levoča,2026-02-22 12:33:36.827108+00
66e71cb8-a4c2-4c4c-90e0-f0aa7b257b0a,Železničný riadok,Levoča,2026-02-22 12:33:36.827108+00
66f0f016-5526-4929-b42c-cb0d2ebb3817,Ždiarska,Levoča,2026-02-22 12:33:36.827108+00
69bd1d3f-5d61-4a9b-85f5-35a5a21fd45b,Športovcov,Levoča,2026-02-22 12:33:36.827108+00
6a570cb9-f1f4-444a-bc2e-89d5d99abceb,Mäsiarska,Levoča,2026-02-22 12:33:36.827108+00
